a11856_human_90min_hrMS2,a11857_human_90min_hrMS2
0.007702173,0.007735518
0.02272089,0.0230893
0.03714097,0.03179326
0.05244488,0.04731585
0.0684383,0.06173403
0.0855754,0.07751093
0.1005793,0.08770058
0.1159434,0.09653329
0.1307203,0.1119995
0.1393575,0.120133
0.1531594,0.1287202
0.1647817,0.1417802
0.1790315,0.1554259
0.1919625,0.1671173
0.2005851,0.1804834
0.2092182,0.1930664
0.2211478,0.2160536
0.2332511,0.2287219
0.2459111,0.2406652
0.256882,0.2507568
0.2698398,0.2615171
0.2819373,0.2702334
0.2919082,0.2800437
0.3049349,0.2935787
0.3181618,0.3068306
0.3313549,0.3192615
0.3434879,0.3332235
0.3566231,0.3418902
0.368742,0.3539003
0.3786266,0.3651185
0.387181,0.3721061
0.3958809,0.3862245
0.405314,0.3964513
0.4186074,0.4066887
0.4304652,0.4152613
0.4433089,0.4239068
0.4541125,0.4343862
0.4684227,0.4447503
0.4823139,0.457783
0.4958114,0.4696121
0.5065345,0.4822452
0.5193381,0.4936951
0.5293128,0.5058987
0.5431689,0.5177464
0.5558228,0.5305834
0.5674163,0.5429521
0.5794824,0.5560497
0.5909697,0.5685179
0.6059402,0.5830928
0.6200691,0.5940298
0.6288687,0.6151381
0.6438437,0.6305707
0.6552369,0.6420102
0.6687719,0.6559767
0.6802261,0.666449
0.694634,0.6814366
0.7077502,0.6937563
0.7205418,0.7006339
0.7336811,0.7157124
0.742937,0.7299142
0.7534908,0.7422308
0.7621303,0.7687531
0.7740301,0.7824504
0.7868901,0.7962193
0.7991356,0.8110541
0.8139021,0.8196829
0.826739,0.8289453
0.8414598,0.841222
0.8568987,0.8534468
0.8700132,0.867313
0.8823502,0.8776231
0.8973481,0.8867148
0.9120204,0.9016893
0.9246828,0.9114119
0.9352078,0.9201098
0.9479049,0.9329535
0.9599403,0.9448864
0.9736295,0.9594173
0.9869624,0.9743771
1.000829,0.9839604
1.015678,0.9966725
1.028255,1.005777
1.041969,1.018451
1.055288,1.031007
1.070333,1.04383
1.083896,1.059244
1.096622,1.068717
1.11217,1.082377
1.129363,1.094581
1.143294,1.109174
1.157702,1.120134
1.17076,1.134494
1.18453,1.154246
1.191333,1.169269
1.204414,1.181893
1.215615,1.19342
1.2289,1.207076
1.242469,1.220957
1.254567,1.232942
1.267089,1.244515
1.278087,1.254602
1.286762,1.263268
1.296136,1.270027
1.306919,1.278714
1.31729,1.287347
1.325933,1.295949
1.332738,1.304968
1.341885,1.31404
1.353752,1.325285
1.360558,1.331902
1.373214,1.340513
1.381832,1.351087
1.390805,1.360074
1.397432,1.367043
1.408267,1.37567
1.419811,1.385711
1.428479,1.394778
1.435232,1.40155
1.443831,1.408136
1.455943,1.416865
1.467097,1.429246
1.48039,1.437912
1.486964,1.449484
1.495629,1.456222
1.502384,1.46283
1.510998,1.475365
1.519742,1.482111
1.528391,1.490747
1.537087,1.501844
1.545726,1.510533
1.552485,1.519175
1.561147,1.527819
1.56808,1.537043
1.576719,1.548843
1.585321,1.555795
1.591894,1.566365
1.600542,1.573105
1.612019,1.579686
1.620818,1.58829
1.627595,1.59488
1.634185,1.603508
1.645257,1.610083
